Individual,Species,dentary,dentary,dentary,dentary,dentary,dentary,scapula,scapula,scapula,scapula,scapula,scapula,scapula,humerus,humerus,humerus,humerus,humerus,femur,femur,femur,femur,Tibia,Calcaneus,Calcaneus,Calcaneus,Calcaneus,Calcaneus,
Macropus_giganteus_NTMU8403,Macropus_giganteus,9.654739418,16.2147453,10.29636343,7.664641952,23.72349321,23.62103674,50.57585031,130.8552103,25.26911469,27.64842247,19.42674089,131.3701725,110.5396613,30.08505447,37.97077255,24.06435082,24.04591487,128.8427767,38.00005765,6.921144953,81.45212221,282.0353985,,82.25020297,32.19272348,36.80669052,23.65930524,44.11340496,
Notamacropus_agilis_J10763,Notamacropus_agilis,7.87445468,12.60613659,50.34301897,6.525496695,16.18014901,17.0846378,,,,,,,,,,,,,,,,,,,,,,,
Notamacropus_agilis_JM732,Notamacropus_agilis,,,,,,,28.73412811,56.05278824,10.98504298,12.30582851,7.891417306,126.6685295,75.03386969,,,,,,21.33651377,4.727242663,46.08895455,164.8988066,,,,,,,
Notamacropus_agilis_MAGNT-U6143,Notamacropus_agilis,,,,,,,,,,,,,,,,,,,,,,,,52.55307492,22.87448141,26.86124984,16.38501013,29.84646547,
Notamacropus_agilis_MAGNT-U6149,Notamacropus_agilis,,,,,,,,,,,,,,,,,,,,,,,,37.39433529,16.88218101,19.8193301,11.15606354,19.34157828,
Notamacropus_agilis_MAGNT-U6150,Notamacropus_agilis,,,,,,,,,,,,,,,,,,,,,,,,44.47578183,20.60068636,23.08058869,12.53564919,22.29417494,
Notamacropus_agilis_MAGNT-U6151,Notamacropus_agilis,,,,,,,,,,,,,,,,,,,,,,,,49.82129884,21.6058338,25.26905233,14.08720035,27.36079467,
Notamacropus_agilis_S1257,Notamacropus_agilis,,,,,,,44.46217524,99.24521293,19.67957383,22.03135861,16.10749562,123.8420015,70.25562488,22.72302432,29.17178517,18.90975431,16.91761637,131.724892,29.78843813,5.658045516,53.89306321,194.2659009,273,,,,,,
Notamacropus_agilis_SAMAM23314,Notamacropus_agilis,,,,,,,36.59815168,77.64900059,15.3323084,17.16859356,,116.9166,,18.99301611,28.28576982,17.70979082,16.06768129,141.1738003,26.49328852,5.081229544,48.33559716,182.0866212,,,,,,,
Notamacropus_agilis_SAMAM5979,Notamacropus_agilis,6.665676424,12.00807223,7.243719918,6.452657175,15.20764725,12.63760323,,,,,,,,,,,,,,,,,,,,,,,
Notamacropus_irma_S1876,Notamacropus_irma,5.339521686,7.122732318,43.5060559,5.045136488,15.08624678,12.0593825,,,,,,,,,,,,,,,,,,,,,,,
Notamacropus_irma_SAMAM16489,Notamacropus_irma,,,,,,,26.64354287,42.29046622,9.549045444,10.56394306,7.127139198,127.293354,82.8151538,8.9,12,7.88,9.04,142.7669,20.64926536,3.90942711,42.34352532,153.6636092,237.4072831,40.49706004,16.30618347,18.21699533,10.84789975,20.52459293,
