"Individual","Species","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Bettongia_penicillata_NHMUK-1850.11.22.47","Bettongia_penicillata",3.128985234,5.402854133,3.085700146,3.052985403,8.853739927,6.899224784,44.46217524,50.79546662,13.8030839,10.88183061,11.6182407,122.516588,124.4632176,10.55231812,10.90630298,9.85947268,10.05045189,132.0233499,38.06951366,7.548911111,70.60067173,208.970395,544.1005358,63.11930823,13.11055627,10.03450528,11.08041633,9.399234002
"Bettongia_tropica_JM15255","Bettongia_tropica",3.20038519,4.981114258,25.40233513,1.990072058,9.353110736,7.949837588,10.51955404,29.41023638,5.24821503,6.457880536,3.834628507,127.4512869,50.79777992,5.797370259,8.496651286,5.873819886,4.816762675,133.0710561,11.65754165,1.739470864,20.09921444,85.94205176,104.56,63.11930823,8.125157133,9.762271913,5.314987956,12.84718807
"Bettongia_tropica_M41240","Bettongia_tropica",3.54100581,5.181625849,25.40233513,2.277804344,8.962726794,8.954371813,12.57245184,29.21095371,6.420092612,7.410450945,4.858224691,129.8851194,54.54255065,6.571889073,9.276311236,4.790140511,5.374569303,133.0620686,10.82282291,2.473566333,19.99016086,87.28560633,108.78,67.89765323,15.10075234,14.41643194,10.84789975,12.84718807
"Dendrolagus_bennettianus_M11638","Dendrolagus_bennettianus",5.491034193,6.830368756,30.63019396,3.833258226,12.23373358,13.68253033,14.57858858,39.91670591,9.469809469,13.71329647,6.351913599,121.4865642,75.03386969,10.34234956,14.10302116,7.36665832,7.659788106,133.8808282,12.89572602,1.739470864,25.34140101,82.33751626,106.45,79.05240977,24.39187028,27.17161029,17.6060112,12.84718807
"Dendrolagus_bennettianus_SAM-M5530","Dendrolagus_bennettianus",8.351288881,10.41503369,39.22249149,5.999956382,13.55680294,18.40077712,37.20547945,69.92222485,15.97436976,18.88549588,11.2549852,119.295126,109.9150135,16.93450505,21.66328202,9.217708503,12.06078832,133.0018246,23.9528918,6.876504428,47.32757882,153.0173649,181.22,36.43392481,18.93471799,24.61055181,14.33744521,16.19836884
"Dendrolagus_goodfellowi_JM18691","Dendrolagus_goodfellowi",6.247213618,10.22644647,32.55773213,3.778980371,14.71492979,12.81716121,34.33285454,66.12815938,13.68379537,18.80111456,11.38509619,123.2109796,68.28171827,15.47814442,21.35404308,8.615431586,13.58096121,136.387487,20.626407,7.548911111,37.93667414,140.0765958,98.78953762,63.11930823,6.877352998,5.853643819,4.525278475,13.61294932
"Dendrolagus_goodfellowi_M23632","Dendrolagus_goodfellowi",5.892579586,8.94408137,40.72547165,3.071370749,13.9655425,14.12327944,36.57126825,63.99612272,14.00621806,19.69076831,11.19648838,117.6218763,49.04061296,15.27460542,22.50404552,10.31245465,12.41359583,140.5992517,20.80065368,6.156719928,38.93049824,137.2750387,139.04,35.47782313,21.6058338,18.21699533,16.31145052,8.286608745
"Dendrolagus_goodfellowi_M9145","Dendrolagus_goodfellowi",5.233507589,8.741587841,37.63570378,3.618321195,13.55820012,13.22796653,31.64544644,55.79551141,12.30537944,18.21787146,10.95132543,130.4444435,59.42707671,14.60399661,20.08795527,10.02540225,12.99307317,136.7946576,20.47721433,7.322560469,38.46341026,136.248895,136.47,56.12733416,21.6058338,17.81259091,14.33744521,8.286608745
"Dendrolagus_lumholtzi_JM20106","Dendrolagus_lumholtzi",6.489343037,7.660085506,33.08613196,3.244912406,13.09452626,13.4611364,30.16107489,48.16978611,11.57858895,17.42149982,8.391701682,119.4849205,55.82455999,13.45036547,18.66411449,9.833893264,10.44881332,140.5141187,18.9737324,5.75969607,39.89772788,126.0074425,181.22,73.84988978,22.58811132,24.99265366,16.82248582,9.399234002
"Dendrolagus_lumholtzi_JM21511","Dendrolagus_lumholtzi",5.640134103,7.353980161,32.55773213,3.752463997,12.96848016,14.4063205,28.2097398,47.43130223,10.98216349,16.14144345,7.758146962,112.8092225,52.86876337,13.03892189,17.42001699,10.36274129,10.41386658,132.9294689,16.59934995,4.150473885,32.85791607,124.9969603,166.86,56.12733416,23.44724514,26.86124984,11.29348961,8.286608745
"Dendrolagus_lumholtzi_M9108","Dendrolagus_lumholtzi",3.54100581,5.967429011,29.31265771,4.597997687,13.3483506,11.26830517,22.2259888,53.91035479,10.14406113,14.10531896,8.565883305,136.6580716,31.1377437,13.56903445,20.13297573,9.85947268,10.44881332,133.0710561,15.98434594,4.663876695,28.98792614,114.93,115.65,35.47782313,16.30618347,17.81259091,9.213135775,10.6257562
"Dendrolagus_lumholtzi_SAM-M7206","Dendrolagus_lumholtzi",5.233507589,5.849615503,6.495101494,5.075847837,9.902174134,10.08816822,26.64354287,44.49747555,8.525873447,12.61986994,6.351913599,125.9349811,102.3874976,14.00110112,21.17129723,8.730330684,10.70751279,134.727325,20.82824566,4.663876695,41.1258358,135.7546197,175.04,16.35581199,24.33396013,28.91695487,16.95610184,9.399234002
"Dendrolagus_matschiei_J5287","Dendrolagus_matschiei",9.06509726,12.72620388,32.04365157,5.004134265,22.93716837,18.40077712,16.50567583,29.41023638,8.572223396,11.4624411,6.351913599,107.9301888,104.6107385,5.579976123,10.32013533,5.847201977,4.942225496,154.0158582,18.18859788,5.916659686,37.53032486,136.1565792,132.51,16.35581199,18.93471799,18.21699533,14.08720035,13.61294932
"Dendrolagus_matschiei_NHMUK-1978.2989","Dendrolagus_matschiei",5.813811331,8.720692075,7.575301311,3.14973504,17.10348054,13.49659439,26.64354287,44.49747555,11.90372787,15.63954467,9.094568279,117.1183072,117.2096277,7.448367289,13.75574491,2.570418001,4.796337005,139.321117,9.64,5.126550095,23.95475514,128.6688837,108.78,56.12733416,15.10075234,16.69102689,7.115127606,9.399234002
"Dorcopsulus_vanheurni_ANWCM15124","Dorcopsulus_vanheurni",3.911704899,6.722524922,25.40233513,3.417808219,12.96848016,11.08557973,11.02593258,29.41023638,5.24821503,7.704542968,4.787306845,136.6580716,47.18348991,7.069400676,10.32013533,5.901076478,5.907902692,135.3888886,12.45517577,2.651683627,22.00727851,99.78635363,71.54595719,9.484753189,26.47877217,28.91695487,17.6060112,9.399234002
"Dorcopsulus_vanheurni_M30727","Dorcopsulus_vanheurni",3.292913339,4.620932291,24.04242585,2.530469181,7.534244769,7.663972754,21.51770285,33.79367073,6.518052523,7.302997672,5.865515938,125.9145292,76.03308897,6.856132412,10.74698363,6.443469184,5.95115976,142.9101958,12.98334664,3.211424438,21.49186938,97.57974597,119.39,56.12733416,12.49990496,14.86281121,10.42774658,9.399234002
"Lagorchestes_conspicillatus_JM20119","Lagorchestes_conspicillatus",4.31890706,6.392874582,2.486533871,7.113752871,12.02524044,11.37117936,19.53962277,37.81849329,6.618403291,7.841574338,5.210850123,127.4565205,74.67337676,7.422731641,10.38541635,6.054158757,6.428224384,131.7348764,15.98434594,4.277128282,29.70580221,139.2909823,166.86,16.35581199,16.30618347,17.81259091,7.587187558,10.6257562
"Lagorchestes_conspicillatus_UQ278","Lagorchestes_conspicillatus",5.122606756,7.517446479,4.63941501,5.999956382,13.88333379,11.00798494,21.51770285,44.54065701,6.518052523,7.406415462,5.01786445,123.2109796,65.32823941,7.054770737,10.18585381,6.211576172,6.542683451,135.396149,16.68101644,2.442359208,28.35745255,118.8327405,87.17,27.17335538,10.82775054,13.51084031,8.035110785,14.93377265
"Lagorchestes_hirsutus_M35069","Lagorchestes_hirsutus",3.778201145,5.410394801,33.08613196,3.41463247,10.97998851,9.177575924,18.26848481,34.6172266,5.758202051,6.28323116,5.01786445,131.3701725,77.10866784,7.720954583,10.18585381,6.68,6.115581777,132.1136668,18.82136203,1.800080794,26.97065224,99.05887322,111.18,16.35581199,22.87448141,24.99265366,17.76016558,13.61294932
